NAME	X	Y	AREA
Parking_E-node-1816	1075469.742	1060727.11	0.759
SAimp_4997-1	1075479.643	1063835.704	0.482
SAimp_5276	1075496.749	1059468.535	0.61
SAimp_E-node-1816	1075504.742	1060702.11	0.75
Parking_3193	1075533.772	1065961.818	0.12
SAimp_5278	1075551.784	1059103.828	0.772
Parking_5280-3	1075552.739	1058330.294	0.525
Parking_E-node-1813	1075567.381	1061111.775	0.465
SAimp_3193	1075568.772	1065936.818	1.351
SAimp_E-node-905-1	1075580.206	1062899.73	0.118
SAimp_5280-3	1075587.739	1058305.294	0.768
SAimp_E-node-1813	1075602.381	1061086.775	1.044
SAimp_E-node-905-2	1075611.228	1063335.888	0.4
Parking_E-node-1573-1	1075615.916	1065238.473	0.435
Parking_E-node-1577-1	1075616.296	1067068.89	7.515
SAimp_E-node-1573-1	1075650.916	1065213.473	0.931
SAimp_E-node-1577-1	1075651.296	1067043.89	0.457
SAimp_E-node-2173-2	1075658.786	1064053.007	0.288
Parking_4004-3	1075705.334	1064268.171	0.592
Parking_5272	1075705.589	1059962.824	0.301
SAimp_4004-3	1075740.334	1064243.171	0.167
Parking_3199-2	1075741.098	1066163.813	0.231
Parking_E-node-1573-2	1075741.711	1064633.497	0.308
SAimp_5274	1075765.693	1059658.781	0.144
SAimp_E-node-1561-1	1075767.176	1063223.973	0.22
SAimp_5110-2	1075771.099	1062717.363	0.306
SAimp_E-node-1573-2	1075776.711	1064608.497	0.331
SAimp_5108-3	1075802.1	1063673.289	0.15
Parking_5262-1	1075809.623	1061609.533	0.4
Parking_3882	1075843.972	1059644.729	0.11
SAimp_5262-1	1075844.623	1061584.533	0.598
SAimp_E-node-162	1075853.102	1061858.135	0.202
Parking_4017	1075872.229	1062119.172	0.997
SAimp_3882	1075878.972	1059619.729	0.108
Parking_4004-2	1075886.911	1064303.74	0.379
Parking_5110-1	1075906.263	1062599.015	0.245
SAimp_4017	1075907.229	1062094.172	0.636
SAimp_4004-2	1075921.911	1064278.74	0.103
Parking_3199-1	1075922.026	1066280.244	1.879
SAimp_3511-1	1075922.631	1068062.374	0.435
SAimp_E-node-1561-2	1075936.099	1063178.897	0.124
SAimp_5110-1	1075941.263	1062574.015	0.167
SAimp_E-node-2173-1	1075942.728	1063990.867	0.131
