NAME	X	Y
Parking_15655	1066746.77800000000	1051675.16300000000
Parking_1573	1080654.58900000000	1071380.14500000000
Parking_1577	1082117.26300000000	1071883.75700000000
Parking_1583	1079733.93900000000	1070588.45100000000
Parking_15837	1071280.25600000000	1048962.18500000000
Parking_15862	1072346.46800000000	1046926.41000000000
Parking_1596-2	1079660.40400000000	1069466.16100000000
Parking_1600	1080776.98900000000	1069041.11100000000
Parking_16029	1069701.55900000000	1048630.45200000000
Parking_16061	1070352.46800000000	1047188.03300000000
Parking_1606-4	1079806.00000000000	1068505.72400000000
Parking_16127	1079794.02600000000	1055826.00100000000
Parking_1629	1081414.15300000000	1071361.87600000000
Parking_1645DWF1	1079890.91800000000	1065016.62900000000
Parking_1645DWF1-2	1079718.63500000000	1065119.15400000000
Parking_1676-2	1078574.61600000000	1076474.15200000000
Parking_1676-4	1078830.30800000000	1076762.31700000000
Parking_1685	1078518.39900000000	1077060.31000000000
Parking_1691	1078704.64300000000	1077400.00800000000
Parking_1697	1079059.52700000000	1077219.32600000000
Parking_1701	1079326.89000000000	1077580.27800000000
Parking_1728	1082750.07700000000	1076179.55900000000
Parking_1741-4	1082533.74600000000	1077608.32800000000
Parking_1757	1082461.02400000000	1077932.23900000000
Parking_1771-2	1084003.95300000000	1077212.56900000000
Parking_1787-1	1081035.58100000000	1077443.62700000000
Parking_1816-1	1082980.94600000000	1077908.98000000000
Parking_1831	1075372.59500000000	1072968.45700000000
Parking_196	1063880.77300000000	1075238.05900000000
Parking_1969	1072006.68600000000	1075190.30300000000
Parking_1971	1071956.32800000000	1075457.83000000000
Parking_1995	1071883.76000000000	1077276.36700000000
Parking_2003-1	1071755.94800000000	1078066.44800000000
Parking_2011-1	1071845.63600000000	1074653.61000000000
Parking_2013-2	1071814.71400000000	1075131.50200000000
Parking_2019	1071795.50900000000	1075627.86300000000
Parking_2027	1070954.40700000000	1076173.79200000000
Parking_2027-1	1070548.60800000000	1076432.01600000000
Parking_2036	1071193.36800000000	1076927.22300000000
Parking_2038	1071192.33800000000	1077194.92200000000
Parking_2047	1071183.63300000000	1077478.37000000000
Parking_207	1064461.63600000000	1076611.02700000000
Parking_2077	1071836.83300000000	1077625.26300000000
Parking_2086-2	1071860.57400000000	1073647.35600000000
Parking_2090	1072011.15300000000	1073304.29700000000
Parking_2092	1071445.77200000000	1073162.79900000000
Parking_2096	1071889.58900000000	1072578.65700000000
Parking_2100	1071972.54100000000	1072240.40300000000
Parking_2102	1072202.52700000000	1072412.44900000000
Parking_2102-2	1072219.88800000000	1072120.22600000000
Parking_2106	1072688.53000000000	1071905.99700000000
Parking_211	1064848.33600000000	1076965.51700000000
Parking_2118	1072397.12800000000	1073833.30600000000
Parking_2155	1072033.86900000000	1074627.66600000000
Parking_2180	1072105.97600000000	1070861.17500000000
Parking_2200	1072353.38500000000	1071049.42900000000
Parking_2237	1071935.99200000000	1075866.89700000000
Parking_2323	1083081.38400000000	1070258.14100000000
