Name	X-Coordinate	Y-Coordinate
Buf1_13650-2	1078739.422	1052622.454
Buf1_13650-3	1078682.172	1052111.048
Buf1_13655	1078888.135	1052479.012
Buf1_13657-1	1078958.046	1052743.667
Buf1_13657-2	1079077.18	1052631.09
Buf1_13657-3	1079091.595	1052845.816
Buf1_1366	1080003.399	1072289.973
Buf1_13662	1079034.119	1051871.996
Buf1_13664-1	1079177.443	1052364.695
Buf1_13664-2	1079302.975	1051875.896
Buf1_13667-1	1079377.397	1052375.204
Buf1_13667-2	1079602.266	1051448.279
Buf1_13670	1078600.714	1050402.949
Buf1_13671	1078440.229	1052567.59
Buf1_13690	1079564.59	1050833.712
Buf1_13712	1068030.731	1052368.986
Buf1_1372	1079785.986	1071775.086
Buf1_13824	1088024.455	1057500.503
Buf1_13828	1086898.944	1058012.994
Buf1_13829	1087190.202	1058017.144
Buf1_13830-1	1087643.833	1058747.21
Buf1_13830-2	1087501.532	1058080.223
Buf1_13830-3	1087374.866	1058670.959
Buf1_13831	1087770.377	1058147.632
Buf1_13832	1088027.989	1057768.66
Buf1_13862-1	1074528.766	1048767.395
Buf1_13872	1086767.961	1058696.208
Buf1_13916	1088945.884	1059131.09
Buf1_13919	1089151.3	1059495.752
Buf1_13922	1089943.892	1059377.156
Buf1_13939	1086302.642	1059176.373
Buf1_14004	1085143.981	1046617.211
Buf1_14076	1087249.214	1045978.247
Buf1_14085-1	1087929.482	1045657.403
Buf1_141	1061985.359	1073974.142
Buf1_1410	1077082.895	1069403.456
Buf1_1410-1	1077165.49	1069235.255
Buf1_14119	1086213.852	1046684.014
Buf1_14132-1	1087959.425	1046955.567
Buf1_14132-2	1087995.364	1046699.253
Buf1_14135	1087600.168	1046783.829
Buf1_14142	1088325.084	1046647.574
Buf1_14155	1088958.399	1047079.977
Buf1_14169	1089472.375	1047320.985
Buf1_14177	1074053.149	1054522.236
Buf1_14186-1	1075166.425	1054571.234
Buf1_14186-2	1074988.891	1055090.757
Buf1_14186-3	1074756.824	1054972.302
Buf1_1419	1078059.868	1075609.883
Buf1_1419-2	1078084.713	1075324.809
Buf1_14215	1088206.601	1046878.233
Buf1_14219-1	1088528.446	1047903.553
Buf1_14219-2	1088209.323	1047390.15
Buf1_1423	1077755.999	1076108.429
Buf1_14287-1	1071660.795	1050019.392
Buf1_1430	1076223.504	1077244.868
Buf1_1430-1	1076462.156	1077563.442
Buf1_1434	1077102.874	1077504.839
Buf1_1434-1	1076870.015	1077240.023
