               0            1       2     3     4
69   1085809.238  1045559.255   0.697  35.0  55.0
70   1085816.975  1047989.717   0.217  47.0  14.0
71   1085842.162  1048344.232   0.373  47.0  14.0
72   1085877.162  1048319.232   0.677  47.0  14.0
73   1085915.118  1047567.450   1.066  47.0  14.0
74   1085964.417  1057807.623   0.374  39.0  21.0
75   1085989.205  1056279.542   0.395  25.0  25.0
76   1085995.277  1059019.750   0.980  43.0   0.0
77   1085999.417  1057782.623   0.837  39.0  21.0
78   1086024.205  1056254.542   1.133  25.0  25.0
79   1086064.807  1052500.550   0.218  15.0  65.0
80   1086085.369  1053526.410   0.902  20.0  44.0
81   1086099.807  1052475.550   0.606  15.0  65.0
82   1086118.889  1051633.506   0.614   6.0   9.0
83   1086163.487  1048654.566   0.168  16.0  24.0
84   1086171.468  1058378.105   0.459  39.0  87.0
85   1086174.701  1055055.863   0.716   0.0   6.0
86   1086185.931  1048933.071   2.117  16.0  24.0
87   1086209.701  1055030.863   0.737   0.0   6.0
88   1086213.852  1046584.014   0.130  21.0   8.0
89   1086220.931  1048908.071   0.900  16.0  24.0
90   1086227.105  1045703.364   3.851  35.0  55.0
91   1086262.105  1045678.364   0.792  35.0  55.0
92   1086263.268  1057711.127   0.270  39.0  21.0
93   1086267.642  1059101.373   0.130   3.0  69.0
94   1086277.969  1058236.252   0.264  39.0  87.0
95   1086293.047  1057330.613   0.263  23.0  76.0
96   1086295.337  1056315.713   1.108  40.0  46.0
97   1086302.642  1059076.373   0.899   3.0  69.0
98   1086308.014  1051095.589   0.296   6.0  88.0
99   1086312.969  1058211.252   0.251  39.0  87.0
100  1086340.227  1054243.208   0.105   0.0  95.0
101  1086349.593  1046654.468   0.254  21.0   8.0
102  1086384.593  1046629.468   0.151  21.0   8.0
103  1086426.373  1051374.373   0.207   6.0   9.0
104  1086458.682  1051934.670   0.198   6.0   9.0
105  1086461.373  1051349.373   0.183   6.0   9.0
106  1086461.706  1055335.599   0.253   0.0   6.0
107  1086468.119  1052835.559   0.307  15.0  65.0
108  1086496.706  1055310.599   0.281   0.0   6.0
109  1086500.175  1053480.780   0.343  20.0  44.0
110  1086504.539  1053185.687   0.376  20.0  44.0
111  1086513.828  1054353.630   0.691   0.0  95.0
112  1086518.454  1054902.892   0.507   0.0   6.0
113  1086522.339  1046449.324   0.193  12.0   8.0
114  1086528.400  1053776.802   0.191  20.0  44.0
115  1086529.914  1049874.641   0.605  37.0  49.0
116  1086530.414  1055978.695   0.926  40.0  46.0
117  1086534.681  1057925.741   0.555  39.0  47.0
118  1086554.465  1046757.066   0.308  12.0   8.0
119  1086563.400  1053751.802   0.103  20.0  44.0
120  1086565.414  1055953.695   0.735  40.0  46.0
121  1086571.810  1057605.739   0.491  23.0  76.0
122  1086572.540  1057306.615   0.425  23.0  76.0
123  1086573.547  1058312.452   0.578  39.0  87.0
124  1086574.576  1056783.090   0.342  23.0  16.0
125  1086576.215  1059141.818   0.671   3.0  69.0
126  1086579.044  1057030.705   0.201  23.0  76.0
127  1086608.547  1058287.452   0.509  39.0  87.0
128  1086611.215  1059116.818   1.337   3.0  69.0
129  1086631.918  1054828.454   0.727   0.0   6.0
130  1086697.028  1047047.714   0.431  12.0   8.0
131  1086720.816  1055268.429   0.258   0.0   6.0
132  1086740.689  1046780.163   0.147  12.0   8.0
133  1086750.543  1048778.899   5.203  16.0  24.0
134  1086767.961  1058596.208   0.149   3.0  69.0
135  1086775.689  1046755.163   0.426  12.0   8.0
136  1086785.543  1048753.899   0.832  16.0  24.0
137  1086840.864  1046322.386   1.097  12.0  34.0
138  1086855.989  1046641.083   0.134  12.0  34.0
139  1086863.944  1057937.994   0.295  39.0  47.0
140  1086875.864  1046297.386   0.310  12.0  34.0
141  1086890.885  1051199.110   0.190   6.0  39.0
142  1086898.944  1057912.994   1.211  39.0  47.0
143  1086902.951  1055856.859   1.741  40.0  46.0
144  1086915.033  1052346.204   0.334  15.0  67.0
145  1086925.885  1051174.110   0.947   6.0  39.0
146  1086933.673  1059377.956   1.405   3.0  29.0
147  1086935.186  1056661.904   1.762  40.0  16.0
148  1086937.951  1055831.859   1.346  40.0  46.0
149  1086941.442  1050187.082   2.242  37.0  49.0
150  1086950.033  1052321.204   1.134  15.0  67.0
151  1086967.327  1046570.009   0.113  12.0  34.0
152  1086970.186  1056636.904   0.538  40.0  16.0
153  1086994.677  1054235.701   0.252  20.0  95.0
154  1087006.082  1051736.752   1.055   6.0  39.0
