                0            1     2     3     4     5     6     7     8     9
99    1069652.751  1051801.906  29.0  95.0   7.0  64.0  46.0   3.0  35.0  84.0
100   1069653.813  1050660.664  14.0  92.0  27.0  39.0  31.0  24.0  28.0  54.0
101   1069670.183  1050945.816  14.0  95.0  27.0  64.0  31.0  54.0  28.0  54.0
102   1069675.943  1053188.446  47.0  56.0  18.0  84.0   1.0  61.0   6.0  39.0
103   1069680.003  1049520.273  14.0   5.0  27.0  39.0  31.0  24.0  28.0  54.0
104   1069693.919  1050067.591  14.0   5.0  27.0  39.0  31.0  24.0  28.0  54.0
105   1069705.041  1052056.191  29.0  95.0   7.0   3.0  46.0   3.0  35.0  84.0
106   1069710.943  1053163.446  47.0  56.0  18.0  84.0   1.0  61.0   6.0  39.0
107   1069713.528  1051775.710  29.0  95.0   7.0  64.0  46.0   3.0  35.0  84.0
108   1069715.003  1049495.273  14.0   5.0  27.0  39.0  31.0  24.0  28.0  54.0
109   1069728.919  1050042.591  14.0   5.0  27.0  39.0  31.0  24.0  28.0  54.0
110   1069748.528  1051750.710  29.0  95.0   7.0  64.0  46.0   3.0  35.0  84.0
111   1069752.702  1049895.119  14.0   5.0  27.0  39.0  31.0  24.0  28.0  54.0
112   1069767.189  1052501.235  29.0  43.0  18.0   3.0  46.0   3.0  35.0  84.0
113   1069771.261  1051455.583  29.0  95.0  27.0  64.0  46.0  54.0  35.0  84.0
114   1069778.681  1050459.697  14.0   5.0  27.0  39.0  31.0  24.0  28.0  54.0
115   1069787.702  1049870.119  14.0   5.0  27.0  39.0  31.0  24.0  28.0  54.0
116   1069789.418  1052893.224  29.0  56.0  18.0   3.0   1.0   3.0   6.0  39.0
117   1069795.066  1053733.611   6.0  56.0   2.0  98.0   1.0  61.0  17.0  39.0
118   1069802.189  1052476.235  29.0  43.0  18.0   3.0  46.0   3.0  35.0  84.0
119   1069806.261  1051430.583  29.0  95.0  27.0  64.0  46.0  54.0  35.0  84.0
120   1069813.681  1050434.697  14.0   5.0  27.0  39.0  31.0  24.0  28.0  54.0
121   1069824.418  1052868.224  29.0  56.0  18.0   3.0   1.0   3.0   6.0  39.0
122   1069830.066  1053708.611   6.0  56.0   2.0  98.0   1.0  61.0  17.0  39.0
123   1069861.675  1052170.019  29.0  19.0   7.0   3.0  46.0   3.0  35.0  84.0
124   1069864.826  1050227.736  14.0   5.0  27.0  39.0  31.0  24.0  28.0  54.0
