                0            1     2     3      4      5
97    1061929.096  1073519.894   4.0  97.0  160.0  262.0
98    1061938.929  1073213.042   4.0  97.0  160.0  186.0
99    1075117.209  1072388.230  11.0  40.0  143.0  248.0
100   1080050.697  1051552.256   7.0   1.0  101.0  283.0
101   1080732.201  1053470.193  25.0  66.0   90.0  217.0
102   1080631.722  1054379.846  25.0  66.0   90.0  230.0
103   1080869.170  1054633.583  25.0  66.0   90.0  230.0
104   1079193.627  1054349.377  25.0  66.0  148.0  122.0
105   1080658.811  1058049.990  10.0  32.0  136.0  139.0
106   1081093.271  1058287.036  10.0  32.0  136.0  139.0
107   1081210.130  1058543.650  10.0  32.0  136.0  139.0
108   1061463.561  1073818.086   4.0  97.0   89.0  262.0
109   1061690.686  1073663.924   4.0  97.0   89.0  262.0
110   1081240.737  1055176.703  25.0  66.0   33.0  108.0
111   1082895.811  1055247.664  29.0  24.0   75.0  108.0
112   1081829.754  1053135.745  25.0  66.0   90.0  217.0
113   1081684.965  1052978.268  25.0  66.0   90.0  217.0
114   1080255.563  1048764.386   7.0  30.0   41.0  167.0
115   1079970.867  1053755.828  25.0  66.0  148.0   14.0
116   1080285.423  1053785.634  25.0  66.0   90.0   14.0
117   1080566.396  1053484.847  25.0  66.0   90.0   14.0
118   1081004.173  1053743.143  25.0  66.0   90.0  217.0
119   1079852.311  1049217.910   7.0   1.0  162.0   84.0
120   1078573.873  1057442.847  10.0  67.0   24.0  182.0
121   1079611.498  1057791.767  10.0  32.0   85.0  139.0
122   1080241.819  1057884.246  10.0  32.0   85.0  139.0
123   1084701.040  1057480.790  29.0  56.0  100.0  114.0
124   1078907.522  1050809.965   7.0   1.0  181.0  272.0
125   1078578.025  1047379.975  38.0  49.0   45.0  245.0
126   1068314.067  1052192.863  17.0  70.0   16.0  250.0
127   1067995.731  1052293.986  17.0  70.0   16.0  250.0
128   1071694.303  1049201.384  33.0  95.0  157.0  214.0
129   1086863.944  1057937.994  44.0  96.0   32.0  196.0
130   1071323.045  1049176.796  33.0  95.0   74.0  214.0
131   1074493.766  1048692.395   3.0  34.0    1.0   11.0
132   1074841.628  1048449.391   3.0  34.0    1.0   11.0
133   1089116.300  1059420.752  44.0  58.0  131.0  110.0
134   1086267.642  1059101.373  44.0  58.0   32.0  196.0
135   1074483.570  1048440.783   3.0  34.0    1.0   11.0
136   1074380.766  1048221.176   3.0  34.0    1.0   11.0
137   1074706.771  1048243.712   3.0  34.0    1.0   11.0
138   1085108.981  1046542.211  34.0  17.0  155.0  126.0
139   1084119.365  1046755.958  34.0  17.0  155.0  126.0
140   1087214.214  1045903.247  40.0  17.0    8.0  151.0
141   1087894.482  1045582.403  40.0  37.0    8.0  151.0
142   1068600.830  1051560.214  17.0  70.0   16.0  250.0
143   1061950.359  1073899.142   4.0  97.0   89.0  262.0
144   1068081.224  1051043.021  17.0   9.0   16.0  250.0
145   1087565.168  1046708.829  40.0  17.0    8.0   66.0
146   1088290.084  1046572.574  40.0  37.0    8.0   66.0
147   1072626.887  1053427.649  31.0  22.0  114.0    2.0
148   1072460.607  1053769.648  31.0  22.0  114.0  243.0
149   1089437.375  1047245.985  40.0  37.0  179.0  278.0
150   1071748.131  1050851.778  33.0  51.0  147.0   43.0
151   1071625.795  1049944.392  33.0  51.0  147.0   43.0
152   1077067.874  1077429.839  46.0  43.0   30.0  227.0
153   1070024.826  1048896.908  33.0   9.0   74.0  128.0
154   1070719.832  1048017.430  33.0  95.0  144.0   17.0
155   1070023.828  1048167.408  33.0  95.0  144.0  128.0
156   1070009.727  1047887.884  33.0  95.0  144.0   17.0
157   1088229.009  1052429.221  20.0  71.0  197.0  216.0
158   1088366.780  1052980.669  20.0   7.0  197.0  216.0
159   1064758.350  1056847.116   0.0  26.0  191.0   78.0
160   1085769.010  1051070.801  28.0  90.0   84.0   36.0
161   1088558.340  1052509.072  20.0  71.0  197.0  216.0
162   1088601.532  1053442.628  20.0   7.0  197.0  102.0
163   1088869.971  1052783.363  20.0   7.0  197.0  216.0
164   1087380.249  1056103.616  20.0  96.0  117.0  233.0
165   1085989.205  1056279.542  29.0  96.0  117.0  233.0
166   1089088.638  1056731.355  20.0  96.0   54.0  223.0
167   1088794.965  1056545.413  20.0  96.0   54.0  223.0
168   1071116.486  1048222.804  33.0  95.0  144.0  214.0
169   1089907.649  1052330.566  20.0  71.0   20.0   50.0
170   1068969.650  1048769.110  33.0   9.0  115.0  128.0
171   1089924.922  1052645.083  20.0  71.0  197.0   50.0
172   1076368.538  1047731.567  38.0  49.0  123.0  165.0
173   1077076.059  1051071.728   7.0  83.0  196.0   41.0
174   1090178.336  1046343.832  40.0  37.0  179.0   15.0
175   1089607.217  1046308.553  40.0  37.0  179.0   15.0
176   1087147.670  1047657.156  40.0  17.0  172.0   66.0
177   1072346.747  1048859.793  33.0  95.0  157.0  241.0
178   1072689.623  1048494.829  33.0  95.0  157.0  241.0
179   1089838.465  1049005.028   1.0  45.0  128.0   42.0
180   1089642.559  1049732.881   1.0  45.0  128.0  123.0
181   1089934.857  1050337.259   1.0  71.0   20.0  123.0
182   1072779.704  1046388.953  13.0  39.0   48.0  260.0
183   1073193.044  1046315.518  13.0  39.0   48.0  260.0
